L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9LX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L16L16L16,L16L16L16L16,L16L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L19,L19L19L19L19,L19L19L19LX
L17L17L17L17,L17L17L17L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L17L17L17,L17L17L17L17,L17L18L18L18,L18L18L18L18,L18L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19LX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16LX
L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16LX
L17L17L16L17,L17L16L16L16,L16L16L16L16,L16L16L16L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18L18L19L19,L19L19L19L19,L19L19L19L19,L19L19L18L18,L18L18L18L18,L18L18L17LX
L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L11L11,L11L11L11L11,L11L11L6L7,L7L7L7L7,L7L11L11L11,L11L11L11L12,L12L12L12L11,L11L11L11L11,L11L11L11L6,L6L6L6L7,L7L7L7L7,L7L7L7L7,L7L7L7LX
L14L14L14L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L13,L13L13L13L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L16L16L15,L15L14L14L13,L13L13L13L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L13,L13L13L13L14,L14L14L15L15,L15L16L16LX
