L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9LXLXLX
L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L15L15,L15LXLXLX
L18L18L18L18,L18L17L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L17,L17L17L17L17,L17LXLXLX
L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11LXLXLX
L14L14L14L14,L14L14L14L15,L15L15L15L15,L15L15L14L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L14L15L15,L15L15L15L15,L15L15L15L14,L14L14L14L14,L14LXLXLX
L15L15L15L15,L15L14L13L13,L13L12L12L12,L12L12L12L13,L13L13L13L13,L13L13L13L13,L13L13L13L14,L14L14L14L14,L14L14L14L14,L14L14L15L15,L15L15L16L16,L16L17L17L17,L17L17L17L17,L17LXLXLX
L17L17L16L16,L16L15L15L14,L14L14L14L14,L14L14L13L14,L14L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L16,L16L15L15L16,L16L16L16L16,L16L16L16L16,L16L17L17L18,L18L18L18L19,L19LXLXLX
L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L15L15L14L14,L14L14L13L13,L13L12L12L12,L12L12L12L12,L12L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L14L14L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L18L17L16L15,L15L14L14L4,L4L14L14L0,L0L14L15L16,L16L16L17L17,L17L18L17L16,L16L16L16L16,L16L17L17L17,L17L18L18L17,L17L17L17L16,L16L17L17L17,L17L16L16L16,L16L16L16L17,L17LXLXLX
L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18LXLXLX
L15L15L15L14,L14L14L14L14,L14L14L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14LXLXLX
L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L18L18L18L18,L18L18L18L18,L18L18L18L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18LXLXLX
L14L14L15L14,L14L14L14L14,L14L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L14L14L13,L13L13L14L14,L14LXLXLX
